tradingsymbol Zerodha,name,exchange,tradingsymbol Yahoo
SHILPAMED,SHILPA MEDICARE,NSE,SHILPAMED.NS
SHIVAMAUTO,SHIVAM AUTO.LTD,NSE,SHIVAMAUTO.NS
SHIVAMILLS,SHIVA MILLS,NSE,SHIVAMILLS.NS
SHIVATEX,SHIVA TEXYARN,NSE,SHIVATEX.NS
SHK,S H KELKAR AND CO..,NSE,SHK.NS
SHOPERSTOP,SHOPPERS STOP,NSE,SHOPERSTOP.NS
SHRADHA,SHRADHA INFRAPROJECTS,NSE,SHRADHA.NS
SHREDIGCEM,SHREE DIGVIJAY CEM CO,NSE,SHREDIGCEM.NS
SHREECEM,SHREE CEMENT,NSE,SHREECEM.NS
SHREEPUSHK,SHRE PUSH CHEM & FERT,NSE,SHREEPUSHK.NS
SHREERAMA,SHREE RAMA MULTI TECH,NSE,SHREERAMA.NS
SHRENIK,SHRENIK,NSE,SHRENIK.NS
SHREYANIND,SHREYANS INDUSTRIES,NSE,SHREYANIND.NS
SHREYAS,SHREYAS SHIPPING & LOGIST,NSE,SHREYAS.NS
SHRIPISTON-BE,SHRIRAM PIST. & RING,NSE,SHRIPISTON-BE.NS
SHRIRAMCIT,SHRIRAM CITYUNI FIN.LTD.,NSE,SHRIRAMCIT.NS
SHRIRAMEPC,SHRIRAM EPC.,NSE,SHRIRAMEPC.NS
SHYAMCENT,SHYAM CENTURY FERROUS,NSE,SHYAMCENT.NS
SHYAMMETL,SHYAM METALICS AND ENGY L,NSE,SHYAMMETL.NS
SHYAMTEL-BE,SHYAM TELECOM,NSE,SHYAMTEL-BE.NS
SICAL,SICAL LOGISTICS,NSE,SICAL.NS
SIEMENS,SIEMENS,NSE,SIEMENS.NS
SIGIND,SIGNET INDUSTRIES,NSE,SIGIND.NS
SIL-BE,STANDARD INDUSTRIES.,NSE,SIL-BE.NS
SILGO,SILGO RETAIL,NSE,SILGO.NS
SILINV-BE,SIL INVESTMENTS,NSE,SILINV-BE.NS
SILLYMONKS,SILLY MONKS ENTERTAIN,NSE,SILLYMONKS.NS
SIMBHALS-BE,SIMBHAOLI SUGARS.,NSE,SIMBHALS-BE.NS
SIMPLEXINF,SIMPLEX INFRASTRUCTURES L,NSE,SIMPLEXINF.NS
SINTERCOM,SINTERCOM INDIA,NSE,SINTERCOM.NS
SINTEX,SINTEX INDUSTRIES,NSE,SINTEX.NS
SIRCA,SIRCA PAINT INDIA,NSE,SIRCA.NS
SIS,SIS,NSE,SIS.NS
SITINET,SITI NETWORKS,NSE,SITINET.NS
SIYSIL,SIYARAM SILK MILLS,NSE,SIYSIL.NS
SJVN,SJVN,NSE,SJVN.NS
SKFINDIA,SKF INDIA,NSE,SKFINDIA.NS
SKIL,SKIL INFRASTRUCTURE.,NSE,SKIL.NS
SKIPPER,SKIPPER,NSE,SKIPPER.NS
SKMEGGPROD,SKM EGG PROD EXPORT(I) LT,NSE,SKMEGGPROD.NS
SMARTLINK,SMARTLINK HOLDINGS,NSE,SMARTLINK.NS
SMCGLOBAL,SMC GLOBAL SECURITIES,NSE,SMCGLOBAL.NS
SMLISUZU,SML ISUZU,NSE,SMLISUZU.NS
SMSLIFE,SMS LIFESCIENCES (I),NSE,SMSLIFE.NS
SMSPHARMA,SMS PHARMACEUTICALS.,NSE,SMSPHARMA.NS
SNOWMAN,SNOWMAN LOGISTICS.,NSE,SNOWMAN.NS
SOBHA,SOBHA,NSE,SOBHA.NS
SOLARA,SOLARA ACTIVE PHA SCI,NSE,SOLARA.NS
SOLARINDS,SOLAR INDUSTRIES (I),NSE,SOLARINDS.NS
SOMANYCERA-BE,SOMANY CERAMICS,NSE,SOMANYCERA-BE.NS
SOMATEX,SOMA TEXTILES & INDUST LT,NSE,SOMATEX.NS
SOMICONVEY,SOMI CONVEYOR BELT..,NSE,SOMICONVEY.NS
SONACOMS,SONA BLW PRECISION FRGS L,NSE,SONACOMS.NS
SONATSOFTW,SONATA SOFTWARE,NSE,SONATSOFTW.NS
SORILINFRA,SORIL INFRA RESOURCES,NSE,SORILINFRA.NS
SOTL,SAVITA OIL TECHNOLO.,NSE,SOTL.NS
SOUTHBANK,THE SOUTH INDIAN BANK,NSE,SOUTHBANK.NS
SOUTHWEST,SOUTH WEST PINNACLE,NSE,SOUTHWEST.NS
SPAL,S. P. APPARELS,NSE,SPAL.NS
SPANDANA,SPANDANA SPHOORTY FIN,NSE,SPANDANA.NS
SPARC,SUN PHARMA ADV.RES.CO.LTD,NSE,SPARC.NS
SPCENET-BE,SPACENET ENTERS IND,NSE,SPCENET-BE.NS
SPECIALITY,SPECIALITY REST,NSE,SPECIALITY.NS
SPENCERS,SPENCER'S RETAIL,NSE,SPENCERS.NS
SPIC,SPIC,NSE,SPIC.NS
SPICEJET,SPICEJET,NSE,SPICEJET.NS
SPLIL,SPL INDUSTRIES,NSE,SPLIL.NS
SPMLINFRA-BE,SPML INFRA,NSE,SPMLINFRA-BE.NS
SPTL,SINTEX PLASTICS TECH,NSE,SPTL.NS
SPYL-BE,SHEKHAWATI POLY-YARN.,NSE,SPYL-BE.NS
SREEL,SREELEATHERS,NSE,SREEL.NS
SREINFRA-BE,SREI INFRASTRUCTURE FINAN,NSE,SREINFRA-BE.NS
SRF,SRF,NSE,SRF.NS
SRHHYPOLTD,SREE RAYALSEEMA HHP.,NSE,SRHHYPOLTD.NS
SRIPIPES,SRIKALAHASTHI PIPES,NSE,SRIPIPES.NS
SRPL-BE,SHREE RAM PROTEINS.,NSE,SRPL-BE.NS
SRTRANSFIN,SHRIRAM TRANSPORT FIN CO.,NSE,SRTRANSFIN.NS
SSWL,STEEL STRIPS WHEELS.,NSE,SSWL.NS
STAMPEDE-BE,STAMPEDE CAPITAL,NSE,STAMPEDE-BE.NS
STAR,STRIDES PHARMA SCI,NSE,STAR.NS
STARCEMENT,STAR CEMENT,NSE,STARCEMENT.NS
STARPAPER,STAR PAPER MILLS,NSE,STARPAPER.NS
STCINDIA,THE STATE TRADING CORPN,NSE,STCINDIA.NS
STEELCITY,STEEL CITY SECURITIES,NSE,STEELCITY.NS
STEELXIND,STEEL EXCHANGE INDIA,NSE,STEELXIND.NS
STEL,STEL HOLDINGS,NSE,STEL.NS
STERTOOLS,STERLING TOOLS,NSE,STERTOOLS.NS
STLTECH,STERLITE TECHNOLOGIES,NSE,STLTECH.NS
STOVEKRAFT,STOVE KRAFT,NSE,STOVEKRAFT.NS
STYLAMIND,STYLAM INDUSTRIES,NSE,STYLAMIND.NS
SUBCAPCITY-BE,INTERNATIONAL CONST,NSE,SUBCAPCITY-BE.NS
SUBEXLTD,SUBEX,NSE,SUBEXLTD.NS
SUBROS,SUBROS,NSE,SUBROS.NS
SUDARSCHEM,SUDARSHAN CHEMICAL INDS L,NSE,SUDARSCHEM.NS
SUMEETINDS-BE,SUMEET IND,NSE,SUMEETINDS-BE.NS
SUMICHEM,SUMITOMO CHEM INDIA,NSE,SUMICHEM.NS
SUMIT-BE,SUMIT WOODS,NSE,SUMIT-BE.NS
SUMMITSEC,SUMMIT SECURITIES,NSE,SUMMITSEC.NS
SUNCLAYLTD,SUNDARAM CLAYTON,NSE,SUNCLAYLTD.NS
SUNDARAM-BE,SUNDARAM MULTI PAP,NSE,SUNDARAM-BE.NS
SUNDARMFIN,SUNDARAM FINANCE,NSE,SUNDARMFIN.NS
SUNDARMHLD,SUNDARAM FINANCE HOLD,NSE,SUNDARMHLD.NS
SUNDRMBRAK,SUNDARAM BRAK LININGS,NSE,SUNDRMBRAK.NS
SUNDRMFAST,SUNDRAM FASTENERS,NSE,SUNDRMFAST.NS
SUNFLAG,SUNFLAG IRON AND STEEL CO,NSE,SUNFLAG.NS
SUNPHARMA,SUN PHARMACEUTICAL IND L,NSE,SUNPHARMA.NS
SUNTECK,SUNTECK REALTY,NSE,SUNTECK.NS
SUNTV,SUN TV NETWORK,NSE,SUNTV.NS
SUPERHOUSE,SUPERHOUSE,NSE,SUPERHOUSE.NS
SUPERSPIN-BE,SUPER SPINNING MILLS,NSE,SUPERSPIN-BE.NS
SUPPETRO-BE,SUPREME PETROCHEMICALS LT,NSE,SUPPETRO-BE.NS
SUPRAJIT,SUPRAJIT ENGINEERING,NSE,SUPRAJIT.NS
SUPREMEENG,SUPREME ENGINEERING,NSE,SUPREMEENG.NS
SUPREMEIND,SUPREME INDUSTRIES,NSE,SUPREMEIND.NS
SURANASOL,SURANA SOLAR,NSE,SURANASOL.NS
SURANAT&P,SURANA TELECOM AND POW LT,NSE,SURANAT&P.NS
SURYALAXMI-BE,SURYALAKSHMI COT MIL,NSE,SURYALAXMI-BE.NS
SURYAROSNI,SURYA ROSHNI,NSE,SURYAROSNI.NS
SURYODAY,SURYODAY SMALL FIN BK,NSE,SURYODAY.NS
SUTLEJTEX,SUTLEJ TEXT & INDUS,NSE,SUTLEJTEX.NS
SUULD,SUUMAYA INDUSTRIES,NSE,SUULD.NS
SUVEN,SUVEN LIFE SCIENCES,NSE,SUVEN.NS
SUVENPHAR,SUVEN PHARMACEUTICALS,NSE,SUVENPHAR.NS
SUVIDHAA,SUVIDHAA INFOSERVE,NSE,SUVIDHAA.NS
SUZLON,SUZLON ENERGY,NSE,SUZLON.NS
SVPGLOB,SVP GLOBAL VENTURES,NSE,SVPGLOB.NS
SWANENERGY,SWAN ENERGY,NSE,SWANENERGY.NS
SWARAJENG,SWARAJ ENGINES,NSE,SWARAJENG.NS
SWELECTES,SWELECT ENERGY SYS,NSE,SWELECTES.NS
SWSOLAR,STERLING & WILSON SO,NSE,SWSOLAR.NS
SYMPHONY,SYMPHONY,NSE,SYMPHONY.NS
SYNGENE,SYNGENE INTERNATIONAL,NSE,SYNGENE.NS
TAINWALCHM-BE,TAINWALA CHEMICAL AND PLA,NSE,TAINWALCHM-BE.NS
TAJGVK,TAJ GVK HOTELS & RESORTS,NSE,TAJGVK.NS
TAKE,TAKE SOLUTIONS,NSE,TAKE.NS
TALBROAUTO,TALBROS AUTO. COMP.,NSE,TALBROAUTO.NS
TANLA-BE,TANLA PLATFORMS,NSE,TANLA-BE.NS
TARAPUR,TARAPUR TRANSFORMERS,NSE,TARAPUR.NS
TARC-BE,TARC,NSE,TARC-BE.NS
TARMAT,TARMAT,NSE,TARMAT.NS
TASTYBITE,TASTY BITE EATABLES,NSE,TASTYBITE.NS
TATACHEM,TATA CHEMICALS,NSE,TATACHEM.NS
TATACOFFEE,TATA COFFEE,NSE,TATACOFFEE.NS
TATACOMM,TATA COMMUNICATIONS,NSE,TATACOMM.NS
TATACONSUM,TATA CONSUMER PRODUCT,NSE,TATACONSUM.NS
TATAELXSI,TATA ELXSI,NSE,TATAELXSI.NS
TATAINVEST,TATA INVESTMENT CORP,NSE,TATAINVEST.NS
TATAMETALI,TATA METALIKS,NSE,TATAMETALI.NS
TATAMOTORS,TATA MOTORS,NSE,TATAMOTORS.NS
TATAMTRDVR,TATA MOTORS DVR 'A' ORD,NSE,TATAMTRDVR.NS
TATAPOWER,TATA POWER CO,NSE,TATAPOWER.NS
TATASTEEL,TATA STEEL,NSE,TATASTEEL.NS
TATASTLBSL-BE,TATA STEEL BSL,NSE,TATASTLBSL-BE.NS
TATASTLLP-BE,TATA STEEL LONG PRO,NSE,TATASTLLP-BE.NS
TATVA,TATVA CHIN PHARM CHEM,NSE,TATVA.NS
TBZ,TRIB BHIMJI ZAVERI,NSE,TBZ.NS
TCI,TRANSPORT CORPN OF INDIA,NSE,TCI.NS
TCIDEVELOP,TCI DEVELOPERS,NSE,TCIDEVELOP.NS
TCIEXP,TCI EXPRESS,NSE,TCIEXP.NS
TCIFINANCE,TCI FINANCE,NSE,TCIFINANCE.NS
TCNSBRANDS,TCNS CLOTHING CO.,NSE,TCNSBRANDS.NS
TCPLPACK,TCPL PACKAGING,NSE,TCPLPACK.NS
TCS,TATA CONSULTANCY SERV LT,NSE,TCS.NS
TDPOWERSYS,TD POWER SYSTEMS.,NSE,TDPOWERSYS.NS
TEAMLEASE,TEAMLEASE SERVICES.,NSE,TEAMLEASE.NS
TECHIN,TECHINDIA NIRMAN,NSE,TECHIN.NS
TECHM,TECH MAHINDRA,NSE,TECHM.NS
TECHNOE,TECHNO ELEC & ENG CO.,NSE,TECHNOE.NS
TEJASNET-BE,TEJAS NETWORKS,NSE,TEJASNET-BE.NS
TEMBO,TEMBO GLOBAL IND,NSE,TEMBO.NS
TERASOFT-BE,TERA SOFTWARE,NSE,TERASOFT-BE.NS
TEXINFRA,TEXMACO INFRA & HOLDG,NSE,TEXINFRA.NS
TEXMOPIPES,TEXMO PIPE & PRODUCTS,NSE,TEXMOPIPES.NS
TEXRAIL,TEXMACO RAIL & ENG..,NSE,TEXRAIL.NS
TFCILTD,TOURISM FINANCE CORP. OF,NSE,TFCILTD.NS
TFL,TRANSWARRANTY FIN..,NSE,TFL.NS
TGBHOTELS,TGB BANQUETS&HOTELS,NSE,TGBHOTELS.NS
THANGAMAYL,THANGAMAYIL JEWELLERY,NSE,THANGAMAYL.NS
THEINVEST,THE INVEST TRUST OF IND L,NSE,THEINVEST.NS
THEMISMED,THEMIS MEDICARE.,NSE,THEMISMED.NS
THERMAX,THERMAX,NSE,THERMAX.NS
THOMASCOOK,THOMAS COOK (INDIA),NSE,THOMASCOOK.NS
THOMASCOTT-BE,THOMAS SCOTT (INDIA),NSE,THOMASCOTT-BE.NS
THYROCARE,THYROCARE TECH,NSE,THYROCARE.NS
TI-BE,TILAKNAGAR INDUSTRIES,NSE,TI-BE.NS
TIDEWATER-BE,TIDE WATER OIL,NSE,TIDEWATER-BE.NS
TIIL,TECHNOCRAFT IND,NSE,TIIL.NS
TIINDIA,TUBE INVEST OF INDIA,NSE,TIINDIA.NS
TIJARIA-BE,TIJARIA POLYPIPES,NSE,TIJARIA-BE.NS
TIL,TIL,NSE,TIL.NS
TIMESGTY,TIMES GUARANTY,NSE,TIMESGTY.NS
TIMETECHNO,TIME TECHNOPLAST.,NSE,TIMETECHNO.NS
TIMKEN,TIMKEN INDIA.,NSE,TIMKEN.NS
TINPLATE,THE TINPLATE CO. (I),NSE,TINPLATE.NS
TIPSINDLTD-BE,TIPS INDUSTRIES.,NSE,TIPSINDLTD-BE.NS
TIRUMALCHM,THIRUMALAI CHEMICALS,NSE,TIRUMALCHM.NS
TIRUPATIFL-BE,TIRUPATI FORGE,NSE,TIRUPATIFL-BE.NS
TITAN,TITAN COMPANY,NSE,TITAN.NS
TMRVL,THE MANDHANA RET VENT,NSE,TMRVL.NS
TNPETRO,TAMILNADU PETROPRODUCTS L,NSE,TNPETRO.NS
TNPL,TAMILNADU NEWSPRT & PAPER,NSE,TNPL.NS
TNTELE-BE,TAMILNADU TELECOMMUNICATI,NSE,TNTELE-BE.NS
TOKYOPLAST,TOKYO PLAST INTL,NSE,TOKYOPLAST.NS
TORNTPHARM,TORRENT PHARMACEUTICALS L,NSE,TORNTPHARM.NS
TORNTPOWER,TORRENT POWER,NSE,TORNTPOWER.NS
TOTAL,TOTAL TRANSPORT SYS,NSE,TOTAL.NS
TOUCHWOOD-BE,TOUCHWOOD ENTERTAIN.,NSE,TOUCHWOOD-BE.NS
TPLPLASTEH,TPL PLASTECH,NSE,TPLPLASTEH.NS
TREEHOUSE-BE,TREE HOUSE EDU,NSE,TREEHOUSE-BE.NS
TREJHARA,TREJHARA SOLUTIONS,NSE,TREJHARA.NS
TRENT,TRENT,NSE,TRENT.NS
TRF,TRF,NSE,TRF.NS
TRIDENT,TRIDENT,NSE,TRIDENT.NS
TRIGYN,TRIGYN TECHNOLOGIES,NSE,TRIGYN.NS
TRIL,TRANS & RECTI.,NSE,TRIL.NS
TRITURBINE,TRIVENI TURBINE,NSE,TRITURBINE.NS
TRIVENI,TRIVENI ENGG. & INDS.,NSE,TRIVENI.NS
TTKHLTCARE,TTK HEALTHCARE,NSE,TTKHLTCARE.NS
TTKPRESTIG,TTK PRESTIGE,NSE,TTKPRESTIG.NS
TTL,T T,NSE,TTL.NS
TTML-BE,TATA TELESERV(MAHARASTRA),NSE,TTML-BE.NS
TV18BRDCST,TV18 BROADCAST,NSE,TV18BRDCST.NS
TVSELECT,TVS ELECTRONICS,NSE,TVSELECT.NS
TVSMOTOR,TVS MOTOR COMPANY ,NSE,TVSMOTOR.NS
TVSSRICHAK,TVS SRICHAKRA,NSE,TVSSRICHAK.NS
TVTODAY,TV TODAY NETWORK,NSE,TVTODAY.NS
TVVISION-BE,TV VISION,NSE,TVVISION-BE.NS
TWL,TITAGARH WAGONS.,NSE,TWL.NS
UBL,UNITED BREWERIES,NSE,UBL.NS
UCALFUEL,UCAL FUEL SYSTEMS,NSE,UCALFUEL.NS
UCOBANK,UCO BANK,NSE,UCOBANK.NS
UFLEX,UFLEX,NSE,UFLEX.NS
UFO,UFO MOVIEZ INDIA.,NSE,UFO.NS
UGARSUGAR,THE UGAR SUGAR WORKS,NSE,UGARSUGAR.NS
UGROCAP,UGRO CAPITAL,NSE,UGROCAP.NS
UJAAS,UJAAS ENERGY,NSE,UJAAS.NS
UJJIVAN,UJJIVAN FIN. SERVC..,NSE,UJJIVAN.NS
UJJIVANSFB,UJJIVAN SMALL FINANC BANK,NSE,UJJIVANSFB.NS
ULTRACEMCO,ULTRATECH CEMENT,NSE,ULTRACEMCO.NS
UMANGDAIRY,UMANG DAIRIES,NSE,UMANGDAIRY.NS
UMESLTD,USHA MARTIN EDU & SOL,NSE,UMESLTD.NS
UNICHEMLAB,UNICHEM LABORATORIES,NSE,UNICHEMLAB.NS
UNIDT,UNITED DRILLING TOOLS,NSE,UNIDT.NS
UNIENTER,UNIPHOS ENTERPRISES,NSE,UNIENTER.NS
UNIONBANK,UNION BANK OF INDIA,NSE,UNIONBANK.NS
UNITEDTEA,UNITED NILGIRI TEA,NSE,UNITEDTEA.NS
UNIVASTU,UNIVASTU INDIA,NSE,UNIVASTU.NS
UNIVCABLES,UNIVERSAL CABLES,NSE,UNIVCABLES.NS
UNIVPHOTO,UNIVERSUS IMAGINGS,NSE,UNIVPHOTO.NS
UPL,UPL,NSE,UPL.NS
URJA,URJA GLOBAL,NSE,URJA.NS
USHAMART,USHA MARTIN.,NSE,USHAMART.NS
UTIAMC,UTI ASSET MNGMT CO,NSE,UTIAMC.NS
UTIBANKETF,UTIAMC - UTIBANKETF,NSE,UTIBANKETF.NS
UTINEXT50,UTIAMC - UTINEXT50,NSE,UTINEXT50.NS
UTINIFTETF,UTIAMC - UTINIFTETF,NSE,UTINIFTETF.NS
UTISENSETF,UTIAMC - UTISENSETF,NSE,UTISENSETF.NS
UTISXN50,UTIAMC - UTISXN50,NSE,UTISXN50.NS
UTTAMSTL-BE,UTTAM GALVA STEELS,NSE,UTTAMSTL-BE.NS
UTTAMSUGAR-BE,UTTAM SUGAR MILLS.,NSE,UTTAMSUGAR-BE.NS
V2RETAIL,V2 RETAIL,NSE,V2RETAIL.NS
VADILALIND,VADILAL INDUSTRIES,NSE,VADILALIND.NS
VAIBHAVGBL,VAIBHAV GLOBAL,NSE,VAIBHAVGBL.NS
VAISHALI,VAISHALI PHARMA,NSE,VAISHALI.NS
VAKRANGEE,VAKRANGEE,NSE,VAKRANGEE.NS
VALIANTORG,VALIANT ORGANICS,NSE,VALIANTORG.NS
VARDHACRLC,VARDHAMAN ACRYLICS,NSE,VARDHACRLC.NS
VARDMNPOLY-BE,VARDHMAN POLYTEX.,NSE,VARDMNPOLY-BE.NS
VARROC,VARROC ENGINEERING.,NSE,VARROC.NS
VASCONEQ,VASCON ENGINEERS,NSE,VASCONEQ.NS
VASWANI,VASWANI IND,NSE,VASWANI.NS
VBL,VARUN BEVERAGES,NSE,VBL.NS
VEDL,VEDANTA,NSE,VEDL.NS
VENKEYS,VENKY'S (INDIA),NSE,VENKEYS.NS
VENUSREM,VENUS REMEDIES,NSE,VENUSREM.NS
VERTOZ,VERTOZ ADVERTISING,NSE,VERTOZ.NS
VESUVIUS,VESUVIUS INDIA,NSE,VESUVIUS.NS
VETO,VETO SWITCHGEAR CABLE,NSE,VETO.NS
VGUARD,V-GUARD IND.,NSE,VGUARD.NS
VHL,VARDHMAN HOLDINGS,NSE,VHL.NS
VIDHIING,VIDHI SPCLTY F INGRDNTS L,NSE,VIDHIING.NS
VIJIFIN-BE,VIJI FINANCE,NSE,VIJIFIN-BE.NS
VIKASECO,VIKAS ECOTECH,NSE,VIKASECO.NS
VIKASLIFE-BE,VIKAS LIFECARE,NSE,VIKASLIFE-BE.NS
VIKASPROP,VIKAS PROP & GRANITE,NSE,VIKASPROP.NS
VIKASWSP,VIKAS WSP,NSE,VIKASWSP.NS
VIMTALABS,VIMTA LABS,NSE,VIMTALABS.NS
VINATIORGA,VINATI ORGANICS,NSE,VINATIORGA.NS
VINDHYATEL,VINDHYA TELELINKS,NSE,VINDHYATEL.NS
VINEETLAB,VINEET LABORATORIES,NSE,VINEETLAB.NS
VINYLINDIA,VINYL CHEMICALS (I).,NSE,VINYLINDIA.NS
VIPCLOTHNG-BE,VIP CLOTHING,NSE,VIPCLOTHNG-BE.NS
VIPIND,VIP INDUSTRIES,NSE,VIPIND.NS
VIPULLTD,VIPUL,NSE,VIPULLTD.NS
VISAKAIND,VISAKA INDUSTRIES,NSE,VISAKAIND.NS
VISASTEEL,VISA STEEL,NSE,VISASTEEL.NS
VISESHINFO-BE,VISESH INFOTECNICS,NSE,VISESHINFO-BE.NS
VISHAL,VISHAL FABRICS,NSE,VISHAL.NS
VISHNU,VISHNU CHEMICALS,NSE,VISHNU.NS
VISHWARAJ,VISHWARAJ SUGAR IND,NSE,VISHWARAJ.NS
VIVIDHA,VISAGAR POLYTEX,NSE,VIVIDHA.NS
VIVIMEDLAB,VIVIMED LABS,NSE,VIVIMEDLAB.NS
VLSFINANCE,VLS FINANCE,NSE,VLSFINANCE.NS
VMART,VMART RETAIL,NSE,VMART.NS
VOLTAMP,VOLTAMP TRANSFORMERS,NSE,VOLTAMP.NS
VOLTAS,VOLTAS,NSE,VOLTAS.NS
VRLLOG,VRL LOGISTICS,NSE,VRLLOG.NS
VSSL,VARDHMAN SPC STEEL,NSE,VSSL.NS
VSTIND,VST INDUSTRIES,NSE,VSTIND.NS
VSTTILLERS,VST TILLERS TRACTORS,NSE,VSTTILLERS.NS
VTL,VARDHMAN TEXTILES,NSE,VTL.NS
WABAG,VA TECH WABAG,NSE,WABAG.NS
WABCOINDIA,WABCO INDIA,NSE,WABCOINDIA.NS
WALCHANNAG,WALCHANDNAGAR INDUSTRIES,NSE,WALCHANNAG.NS
WANBURY-BE,WANBURY,NSE,WANBURY-BE.NS
WATERBASE,WATERBASE,NSE,WATERBASE.NS
WEALTH-BE,WEALTH FRST PORT. MG.,NSE,WEALTH-BE.NS
WEBELSOLAR,WEBSOL ENERGY SYSTEM,NSE,WEBELSOLAR.NS
WEIZMANIND,WEIZMANN,NSE,WEIZMANIND.NS
WELCORP,WELSPUN CORP,NSE,WELCORP.NS
WELENT,WELSPUN ENTERPRISES.,NSE,WELENT.NS
WELINV,WELSPUN INV & COMM,NSE,WELINV.NS
WELSPUNIND,WELSPUN INDIA,NSE,WELSPUNIND.NS
WENDT,WENDT (INDIA),NSE,WENDT.NS
WESTLIFE,WESTLIFE DEVELOPMENT,NSE,WESTLIFE.NS
WHEELS,WHEELS INDIA,NSE,WHEELS.NS
WHIRLPOOL,WHIRLPOOL OF INDIA,NSE,WHIRLPOOL.NS
WILLAMAGOR,WILLIAMSON MAGOR,NSE,WILLAMAGOR.NS
WINDLAS,WINDLAS BIOTECH,NSE,WINDLAS.NS
WINDMACHIN,WINDSOR MACHINES,NSE,WINDMACHIN.NS
WIPL-BE,THE WESTERN INDIA PLY,NSE,WIPL-BE.NS
WIPRO,WIPRO,NSE,WIPRO.NS
WOCKPHARMA,WOCKHARDT,NSE,WOCKPHARMA.NS
WONDERLA,WONDERLA HOLIDAYS.,NSE,WONDERLA.NS
WORTH,WORTH PERIPHERALS,NSE,WORTH.NS
WSI-BE,W.S.INDUSTRIES (I).,NSE,WSI-BE.NS
WSTCSTPAPR,WEST COAST PAPER MILLS LT,NSE,WSTCSTPAPR.NS
XCHANGING,XCHANGING SOLUTIONS,NSE,XCHANGING.NS
XELPMOC-BE,XELPMOC DESIGN & TECH,NSE,XELPMOC-BE.NS
XPROINDIA,XPRO INDIA,NSE,XPROINDIA.NS
YAARII-BE,YAARII DIG INTEGR SER,NSE,YAARII-BE.NS
YESBANK,YES BANK,NSE,YESBANK.NS
ZEEL,ZEE ENTERTAINMENT ENT,NSE,ZEEL.NS
ZEELEARN,ZEE LEARN,NSE,ZEELEARN.NS
ZEEMEDIA,ZEE MEDIA CORPORATION,NSE,ZEEMEDIA.NS
ZENITHEXPO,ZENITH EXPORTS,NSE,ZENITHEXPO.NS
ZENITHSTL-BE,ZENITH STEEL PIP IND,NSE,ZENITHSTL-BE.NS
ZENSARTECH,ZENSAR TECHNOLOGIES ,NSE,ZENSARTECH.NS
ZENTEC,ZEN TECHNOLOGIES,NSE,ZENTEC.NS
ZODIACLOTH,ZODIAC CLOTHING CO..,NSE,ZODIACLOTH.NS
ZODJRDMKJ,ZODIAC JRD-MKJ,NSE,ZODJRDMKJ.NS
ZOMATO,ZOMATO,NSE,ZOMATO.NS
ZOTA,ZOTA HEALTH CARE,NSE,ZOTA.NS
ZUARI-BE,ZUARI AGRO CHEMICALS,NSE,ZUARI-BE.NS
ZUARIGLOB-BE,ZUARI GLOBAL,NSE,ZUARIGLOB-BE.NS
ZYDUSWELL,ZYDUS WELLNESS,NSE,ZYDUSWELL.NS
